시군명,구/읍면동명,기관명,시설구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
화성시,영천동,동탄2파출소,파출소,18472,경기도 화성시 영천동 668-1번지,경기도 화성시 동탄영천로 70,127.1038635,37.2090116
화성시,서신면,서신파출소,파출소,18555,경기도 화성시 서신면 매화리 351-3번지,경기도 화성시 서신면 매화1길 31,126.7055313,37.170108
화성시,송산면,송산파출소,파출소,18550,경기도 화성시 송산면 사강리 638-1,경기도 화성시 송산면 송산포도로 98,126.7381203,37.2140478
화성시,비봉면,비봉파출소,파출소,18284,경기도 화성시 비봉면 양노리 255-3번지,경기도 화성시 비봉면 양노로 118,126.8742646,37.2368268
용인시,기흥구,고매파출소,파출소,17102,경기도 용인시 기흥구 고매동 산80-2번지,경기도 용인시 기흥구 동탄기흥로 715,127.0989698,37.2231619
용인시,처인구,남사파출소,파출소,17118,경기도 용인시 처인구 남사면 봉무리 664-4번지,경기도 용인시 처인구 남사면 처인성로185번길 13,127.1499675,37.1137049
용인시,처인구,포곡파출소,파출소,17028,경기도 용인시 처인구 포곡읍 삼계리 561-5번지,경기도 용인시 처인구 포곡읍 포곡로278번길 3,127.2320378,37.2792936
용인시,처인구,원삼파출소,파출소,17168,경기도 용인시 처인구 원삼면 고당리 71-6번지,경기도 용인시 처인구 원삼면 고당로15번길 1,127.311144,37.1648361
용인시,기흥구,동백파출소,파출소,17004,경기도 용인시 기흥구 중동 872-2번지,경기도 용인시 기흥구 동백6로 37,127.155382,37.2774349
용인시,기흥구,상갈파출소,파출소,17064,경기도 용인시 기흥구 신갈동 68-2번지,경기도 용인시 기흥구 중부대로 380,127.109167,37.2715476
용인시,기흥구,흥덕파출소,파출소,16953,경기도 용인시 기흥구 영덕동 967번지,경기도 용인시 기흥구 흥덕2로118번길 1,127.0744704,37.2783224
용인시,기흥구,구성파출소,파출소,16919,경기도 용인시 기흥구 언남동 375-3번지 구성파출소,경기도 용인시 기흥구 구성로 68,127.1168234,37.2946248
광주시,퇴촌면,퇴촌파출소,파출소,12711,경기도 광주시 퇴촌면 광동리 237-2번지,경기도 광주시 퇴촌면 광동로 45,127.3077722,37.4707223
광주시,초월읍,초월파출소,파출소,12735,경기도 광주시 초월읍 대쌍령리 211-6번지,경기도 광주시 초월읍 경충대로 1243,127.2883674,37.3856983
